SMILES,NAME,NODES,SOLUTION_TIME,NUM_ROUTES,FINAL_NUM_RXN_MODEL_CALLS,final_num_value_model_calls
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,SAscore-linear-0.3,218,4,0,4 (NOTE: this was less than the maximum budget),4
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,SAscore-linear-1.0,218,4,0,4 (NOTE: this was less than the maximum budget),37
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNNEstimatorMAXScore-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNNEstimatorMAXScore-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNNEstimatorAVGScore-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNNEstimatorAVGScore-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN_NNSplitSingleMAXScore-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN_NNSplitSingleMAXScore-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN_NNSplitSingleAVGSCore-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN_NNSplitSingleAVGSCore-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN-NN-Split-MAX-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN-NN-Split-MAX-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
CC=C(C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(OC(C)=O)C2OC(=O)C1(C)O,GNN-NN-Split-AVG-3.0,27710,inf,0,500,8022
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN-NN-Split-AVG-3.0,218,4,0,4 (NOTE: this was less than the maximum budget),72
O=C(OCc1cccc([N+](=O)[O-])c1)c1cc2ccccc2oc1=O,GNN-NN-Split-AVG-10.0,247,4,0,4 (NOTE: this was less than the maximum budget),78
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,constant-0,9266,inf,0,500,608
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,SAscore-linear-0.3,8809,inf,0,500,2010
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNNEstimatorMAXScore-10.0,25869,inf,0,500,10345
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,SAscore-linear-1.0,8698,inf,0,500,2009
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNNEstimatorMAXScore-3.0,9073,inf,0,500,1999
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNNEstimatorMAXScore-10.0,9235,inf,0,500,2233
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNNEstimatorAVGScore-3.0,9084,inf,0,500,2002
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNNEstimatorAVGScore-10.0,9135,inf,0,500,2227
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNNEstimatorAVGScore-3.0,26346,inf,0,500,10333
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN_NNSplitSingleMAXScore-3.0,9030,inf,0,500,1975
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN_NNSplitSingleMAXScore-10.0,9302,inf,0,500,2276
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN_NNSplitSingleAVGSCore-3.0,9003,inf,0,500,1964
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN_NNSplitSingleAVGSCore-10.0,9274,inf,0,500,2253
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN-NN-Split-MAX-3.0,9057,inf,0,500,1986
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNNEstimatorAVGScore-10.0,25817,inf,0,500,10313
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN-NN-Split-MAX-10.0,9237,inf,0,500,2236
CC=C(C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(OC(C)=O)C2OC(=O)C1(C)O,GNN-NN-Split-AVG-10.0,27507,inf,0,500,8470
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,constant-0,107,3,0,3 (NOTE: this was less than the maximum budget),13
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,SAscore-linear-0.3,209,8,0,8 (NOTE: this was less than the maximum budget),54
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,SAscore-linear-1.0,567,23,0,23 (NOTE: this was less than the maximum budget),149
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNNEstimatorMAXScore-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNNEstimatorMAXScore-10.0,5277,215,0,215 (NOTE: this was less than the maximum budget),1705
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNNEstimatorAVGScore-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
COc1ccc(C23Oc4cc(OC)cc(OC)c4C2(O)C(O)C(C(=O)NOCCO)C3c2ccccc2)cc1,GNN_NNSplitSingleMAXScore-3.0,26346,inf,0,500,10333
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN-NN-Split-AVG-3.0,8997,inf,0,500,1985
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNNEstimatorAVGScore-10.0,5242,213,0,213 (NOTE: this was less than the maximum budget),1692
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN_NNSplitSingleMAXScore-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN_NNSplitSingleMAXScore-10.0,5154,210,0,210 (NOTE: this was less than the maximum budget),1661
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN_NNSplitSingleAVGSCore-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN_NNSplitSingleAVGSCore-10.0,5242,213,0,213 (NOTE: this was less than the maximum budget),1693
COc1ccc(CCN(C)C(=O)CSc2nnnn2C)cc1OC,GNN-NN-Split-MAX-3.0,191,7,0,7 (NOTE: this was less than the maximum budget),51
Cc1ccc(-c2nnc(-c3snnc3C)o2)s1,GNN-NN-Split-AVG-10.0,9282,inf,0,500,2256
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,constant-0,1609,34,0,34 (NOTE: this was less than the maximum budget),113
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,SAscore-linear-0.3,1522,33,0,33 (NOTE: this was less than the maximum budget),470
O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,SAscore-linear-1.0,1549,33,0,33 (NOTE: this was less than the maximum budget),550
